country,annual_income,corruption_index,cost_index,monthly_income,purchasing_power_index,gdp_per_capita,tourists_in_millions,receipts_in_billions,receipts_per_tourist,percentage_of_gdp,unemployment_rate
Lebanon,3450.0,76.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Lesotho,4130.0,69.0,39.3,106.0,4.6,47316.0,4.1,4.51,1018.0,1.7,5.0
Liberia,620.0,71.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Libya,8430.0,83.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Lithuania,4130.0,69.0,48.9,782.0,25.8,42665.0,4.1,4.51,1018.0,1.7,5.0
Luxembourg,81110.0,19.0,113.1,6759.0,101.8,134754.0,0.5,4.45,8484.0,5.1,5.2
Macao,4130.0,69.0,75.0,3894.0,88.5,73802.0,5.9,9.44,1601.0,31.6,3.0
Madagascar,500.0,74.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Malaysia,10930.0,52.0,38.8,911.0,40.0,47316.0,4.3,3.39,781.0,0.9,4.6
Mali,870.0,71.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Malta,4130.0,69.0,75.7,2547.0,57.3,47714.0,4.1,4.51,1018.0,1.7,5.0
Marshall Islands,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,36.0
Mauritania,1730.0,72.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Mauritius,4130.0,69.0,43.3,905.0,35.6,47316.0,4.1,4.51,1018.0,1.7,5.0
Mexico,9380.0,69.0,54.7,782.0,24.4,47316.0,51.1,11.45,224.0,0.9,4.4
Moldova,4130.0,69.0,38.5,455.0,20.1,47316.0,0.0,0.35,12207.0,2.6,5.0
Mongolia,4130.0,69.0,35.3,313.0,15.1,47316.0,4.1,4.51,1018.0,1.7,5.0
Montenegro,4130.0,69.0,51.2,775.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Morocco,4130.0,69.0,45.0,279.0,10.6,47316.0,2.8,4.51,1611.0,3.4,5.0
Mozambique,480.0,74.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Nepal,1230.0,67.0,28.1,103.0,6.2,47316.0,4.1,4.51,1018.0,1.7,5.0
Netherlands,56370.0,18.0,99.0,4698.0,80.8,63767.0,7.3,10.93,1504.0,1.1,4.0
New Caledonia,4130.0,69.0,125.8,1101.0,14.9,47316.0,4.1,4.51,1018.0,1.7,5.0
